Item SKU,Store,Supplier,Cost per Unit ($),On Hand,Annual Demand
0100,003480,A,125.32,159,1693
0100,01611,B,115.12,40,351
0100,01611,D,53.61,174,1691
0100,020109,B,2.26,176,1559
0100,020109,C,60.51,74,733
0100,020109,D,53.72,48,496
0100,080212,B,106.78,6,58
011,003480,B,1.33,129,1106
011,003480,C,12.94,82,771
011,01611,C,5.16,17,172
011,020109,A,12.33,173,1695
011,020109,C,18.72,3,28
011,020109,D,2.48,34,324
011,080212,B,18.28,175,1618
0113,020109,B,164.79,91,975
0113,031779,A,208.19,166,1496
0113,031779,B,214.97,54,469
0113,031779,C,28.68,73,697
0113,080212,A,186.54,157,1654
0113,080212,B,147.89,104,959
0113,080212,D,198.64,13,133
0122,003480,A,68.50,34,290
0122,003480,B,95.64,92,855
0122,003480,C,125.04,32,269
0122,003480,D,146.64,143,1473
0122,020109,A,120.03,77,680
0122,020109,D,94.13,85,770
0122,031779,A,56.59,133,1239
0122,031779,B,111.66,20,215
0122,031779,C,156.51,167,1796
0122,031779,D,80.17,72,718
013,003480,A,19.13,28,277
013,020109,A,22.69,103,962
013,031779,A,1.13,29,297
013,031779,C,24.73,23,220
013,031779,D,9.99,188,1606
013,080212,B,21.39,141,1403
013,080212,C,24.05,188,1686
0133,003480,A,153.18,143,1379
0133,003480,C,191.53,33,298
0133,020109,A,253.76,46,398
0133,020109,B,226.74,101,969
0133,020109,C,114.09,62,535
0133,020109,D,23.02,48,506
0133,080212,B,121.31,116,1203
0133,080212,C,55.76,141,1449
0137,003480,B,24.26,159,1707
0137,003480,D,209.02,35,359
0137,01611,A,132.96,175,1555
0137,01611,B,98.65,74,702
0137,020109,B,233.38,57,610
0137,080212,A,197.61,13,117
0137,080212,C,267.91,170,1695
014,003480,A,12.15,160,1596
014,003480,B,5.59,65,605
014,01611,C,6.85,68,675
014,020109,A,6.29,97,977
014,020109,B,18.80,143,1209
014,031779,C,21.12,159,1655
014,080212,C,7.44,161,1671
0151,003480,A,9.06,11,107
0151,003480,C,84.06,13,127
0151,003480,D,75.23,42,422
0151,01611,B,274.77,175,1502
0151,01611,C,271.88,180,1515
0151,031779,A,142.39,147,1566
0151,031779,C,230.61,71,724
0151,080212,B,88.50,64,617
0151,080212,C,132.37,14,134
0151,080212,D,237.08,160,1433
0152,003480,A,65.10,105,928
0152,003480,C,291.53,58,510
0152,003480,D,283.93,55,485
0152,01611,A,269.49,199,2052
0152,01611,C,143.76,113,1132
0152,01611,D,156.82,87,781
0152,031779,A,302.13,112,942
0152,031779,B,20.23,173,1835
0164,003480,A,77.07,128,1080
0164,003480,C,57.79,176,1634
0164,003480,D,8.54,103,1039
0164,01611,C,168.22,86,918
0164,031779,A,94.81,141,1458
0164,031779,C,99.74,180,1545
0164,080212,A,212.04,121,1178
0165,003480,A,306.12,35,339
0165,003480,B,56.02,25,215
0165,01611,A,146.34,108,1047
0165,020109,A,273.35,166,1450
0165,020109,B,98.75,152,1346
0165,020109,D,82.69,180,1621
0165,080212,B,62.24,5,48
0166,003480,C,149.15,70,690
0166,003480,D,162.95,80,791
0166,01611,C,303.98,109,1078
0166,020109,A,279.34,193,1724
0166,020109,B,170.55,184,1793
0166,020109,C,267.92,46,493
0166,031779,C,89.99,121,1074
0170,003480,B,31.69,3,30
0170,020109,B,58.87,169,1436
0170,020109,C,110.81,15,142
0170,031779,A,276.44,133,1171
0170,080212,B,333.28,15,158
0170,080212,C,8.59,86,894
0170,080212,D,78.83,172,1649
0171,01611,B,13.71,144,1247
0171,01611,C,186.11,53,448
0171,020109,A,0.56,91,774
0171,020109,B,99.69,106,1013
0171,020109,C,151.45,34,357
0171,080212,A,212.31,80,698
0171,080212,C,1.05,86,893
0175,003480,A,237.30,73,646
0175,01611,B,314.36,176,1799
0175,020109,B,267.82,109,1169
0175,020109,D,295.06,125,1195
0175,031779,A,171.71,133,1261
0175,031779,B,280.00,86,812
0175,031779,C,301.06,62,530
0181,003480,C,215.15,59,541
0181,01611,A,0.01,73,677
0181,01611,B,140.20,41,437
0181,020109,B,135.16,94,951
0181,031779,A,331.41,73,747
0181,031779,B,28.53,151,1568
0181,080212,A,318.46,139,1472
0186,01611,C,134.71,189,1730
0186,020109,A,169.59,101,991
0186,020109,B,31.57,19,171
0186,031779,A,40.42,97,1027
0186,031779,C,138.45,57,568
0186,080212,A,88.67,153,1518
0186,080212,B,165.31,200,1793
0190,003480,B,302.38,83,739
0190,003480,C,280.09,4,35
0190,003480,D,244.46,183,1560
0190,020109,A,302.15,15,159
0190,031779,A,237.13,167,1584
0190,031779,D,142.27,154,1586
0190,080212,C,298.52,179,1905
0203,01611,A,281.34,154,1642
0203,01611,C,97.58,141,1423
0203,01611,D,300.49,155,1534
0203,020109,A,308.87,173,1678
0203,020109,B,137.08,170,1819
0203,020109,C,102.50,46,494
0203,080212,B,163.06,145,1370
0217,003480,A,314.57,66,555
0217,003480,C,217.76,131,1323
0217,01611,C,99.65,74,715
0217,020109,A,419.96,81,771
0217,020109,B,294.90,148,1363
0217,031779,C,213.97,49,447
0217,080212,A,321.02,76,701
0222,01611,C,342.67,136,1241
0222,020109,A,115.27,85,849
0222,020109,B,236.18,107,1000
0222,020109,C,107.25,188,1596
0222,020109,D,310.00,51,441
0222,031779,B,254.97,37,391
0222,080212,B,168.53,33,310
0222,080212,C,429.42,64,671
0223,020109,C,227.56,42,374
0223,031779,A,218.72,111,958
0223,031779,B,288.70,36,305
0223,080212,A,142.85,132,1412
0223,080212,C,327.53,93,966
0223,080212,D,426.56,76,677
0228,020109,C,372.04,190,1891
0228,020109,D,37.53,7,75
0228,080212,A,365.85,188,1587
0228,080212,B,452.14,82,703
0228,080212,C,384.77,30,258
0228,080212,D,455.10,172,1800
0235,003480,B,169.15,139,1460
0235,003480,C,73.87,105,974
0235,01611,A,15.67,109,931
0235,01611,D,213.01,68,724
0235,020109,A,114.99,176,1852
0235,020109,B,430.71,31,261
0235,020109,C,259.16,71,738
0239,003480,B,180.17,60,551
0239,01611,A,89.14,166,1454
0239,01611,C,191.30,67,603
0239,020109,B,9.49,21,208
0239,031779,B,41.55,84,707
0239,080212,A,476.77,30,264
0239,080212,B,63.32,121,1075
0241,003480,C,330.07,172,1590
0241,01611,C,242.38,192,2059
0241,020109,B,13.43,197,1730
0241,020109,C,309.88,93,896
0241,020109,D,158.88,192,1975
0241,031779,A,236.04,103,937
0241,031779,C,0.94,110,1050
0241,031779,D,110.49,99,916
0244,003480,A,471.53,175,1873
0244,003480,B,443.27,137,1479
0244,003480,C,181.69,70,634
0244,01611,A,450.89,129,1270
0244,020109,C,26.44,174,1585
0244,020109,D,121.38,55,505
0244,031779,B,58.87,106,1081
0245,003480,A,239.74,194,1737
0245,003480,B,98.79,192,1805
0245,01611,A,361.08,197,1845
0245,01611,B,485.47,61,613
0245,020109,A,292.48,50,501
0245,020109,B,218.32,21,202
0245,080212,B,259.92,200,1704
0245,080212,C,219.85,173,1491
0252,003480,A,362.16,3,26
0252,003480,D,115.82,136,1193
0252,01611,B,491.65,74,714
0252,01611,C,85.55,136,1228
0252,020109,B,43.25,117,1054
0252,020109,C,393.27,42,442
0252,031779,C,300.46,89,857
0252,080212,B,354.84,180,1657
0257,01611,D,302.84,200,1998
0257,020109,A,104.91,148,1352
0257,020109,B,247.38,151,1519
0257,031779,A,106.99,87,879
0257,031779,C,45.32,135,1251
0257,080212,A,269.39,137,1276
0259,01611,A,388.54,1,10
0259,020109,A,485.51,22,198
0259,020109,B,304.75,100,1062
0259,031779,C,332.58,147,1584
0259,031779,D,420.95,177,1615
0259,080212,B,239.24,191,1658
0259,080212,C,296.00,157,1652
0260,01611,B,152.02,72,666
0260,01611,D,351.14,111,943
0260,020109,B,6.38,183,1767
0260,031779,C,169.60,59,602
0260,080212,A,30.16,12,126
0260,080212,B,419.93,77,649
0260,080212,C,253.26,70,603
0272,003480,B,311.97,111,1175
0272,01611,B,21.90,158,1621
0272,01611,C,370.43,111,1178
0272,020109,A,485.59,79,785
0272,031779,A,116.96,121,1057
0272,031779,C,68.64,74,721
0272,080212,B,58.03,68,641
0273,003480,A,482.21,186,1861
0273,01611,C,276.77,77,757
0273,01611,D,309.17,172,1647
0273,020109,A,194.72,174,1677
0273,020109,B,436.19,21,179
0273,020109,C,542.04,54,565
0273,031779,B,450.47,98,1015
0274,003480,A,107.88,31,328
0274,003480,B,254.39,79,761
0274,01611,A,38.74,5,49
0274,01611,D,104.34,104,890
0274,020109,A,151.21,114,1181
0274,031779,A,327.83,67,702
0274,031779,B,94.75,105,1102
0274,031779,C,25.84,40,363
0274,031779,D,388.10,59,550
0274,080212,C,193.84,189,1708
0276,003480,A,249.30,10,96
0276,020109,A,27.41,100,918
0276,020109,B,551.95,97,1035
0276,020109,D,349.49,64,673
0276,031779,A,67.78,55,551
0276,031779,B,28.38,156,1456
0276,080212,A,158.52,198,1858
0276,080212,B,121.95,128,1185
0276,080212,D,190.17,69,716
0280,003480,A,307.39,147,1512
0280,003480,C,232.54,171,1816
0280,003480,D,161.97,117,1141
0280,01611,B,243.06,156,1607
0280,020109,A,151.39,17,156
0280,031779,C,538.85,48,487
0280,080212,C,527.07,153,1580
0283,003480,A,75.79,7,75
0283,003480,C,120.75,171,1681
0283,003480,D,302.09,67,667
0283,01611,B,524.07,72,640
0283,01611,C,541.76,153,1509
0283,020109,B,387.00,68,639
0289,003480,B,316.19,79,818
0289,003480,C,297.40,136,1207
0289,003480,D,369.80,187,1804
0289,01611,B,131.53,154,1634
0289,020109,A,210.33,135,1232
0289,020109,B,88.84,172,1559
0289,031779,A,546.53,144,1529
0289,031779,B,109.97,127,1227
0289,031779,C,250.20,93,851
0289,080212,A,212.84,64,575
0289,080212,B,311.83,40,406
